feature,coef,importance
died_in_hospital,-0.603200036822717,0.603200036822717
last_service_OMED,0.4505436593910965,0.4505436593910965
gender_F,-0.3823407546992366,0.3823407546992366
admission_type_SURGICAL SAME DAY ADMISSION,-0.34031373168973694,0.34031373168973694
discharge_location_HOSPICE,-0.3181947779185125,0.3181947779185125
last_service_ORTHO,-0.299561265809938,0.299561265809938
days_since_prev_discharge,-0.28123467045474926,0.28123467045474926
gender_M,-0.21982970909529187,0.21982970909529187
insurance_Private,-0.2107377879334881,0.2107377879334881
admission_location_TRANSFER FROM HOSPITAL,-0.20980640604048792,0.20980640604048792
marital_status_MARRIED,-0.2083567071150195,0.2083567071150195
admission_type_OBSERVATION ADMIT,-0.20183055763849705,0.20183055763849705
language_English,-0.19359993852269258,0.19359993852269258
anchor_age,-0.17049961893138404,0.17049961893138404
insurance_Medicare,-0.16999515125443185,0.16999515125443185
discharge_location_HOME,-0.15766186009211675,0.15766186009211675
last_service_NMED,-0.15723353161428436,0.15723353161428436
marital_status_SINGLE,-0.14695024272782653,0.14695024272782653
admission_type_URGENT,-0.1461646843101035,0.1461646843101035
marital_status_WIDOWED,-0.14489806176527797,0.14489806176527797
discharge_location_PSYCH FACILITY,0.14141044138569067,0.14141044138569067
insurance_Medicaid,-0.13724680206465908,0.13724680206465908
admission_type_ELECTIVE,0.13085922571823147,0.13085922571823147
admission_location_WALK-IN/SELF REFERRAL,-0.12430732942408575,0.12430732942408575
discharge_location_DIED,-0.12205022675958041,0.12205022675958041
admission_type_EW EMER.,-0.12147572959221033,0.12147572959221033
last_service_CMED,-0.11187259169815393,0.11187259169815393
discharge_location_REHAB,-0.10659049754670993,0.10659049754670993
Hemoglobin_median,-0.10657667539074851,0.10657667539074851
admission_type_DIRECT EMER.,0.10457589931702556,0.10457589931702556
discharge_location_SKILLED NURSING FACILITY,-0.103495973621324,0.103495973621324
language_Spanish,-0.10106393773895479,0.10106393773895479
admission_location_PHYSICIAN REFERRAL,-0.09993405704019716,0.09993405704019716
marital_status_DIVORCED,-0.09320060988236624,0.09320060988236624
num_diagnoses,0.09275786459791656,0.09275786459791656
Hemoglobin_min,-0.08653666628756447,0.08653666628756447
language_Russian,-0.07615028440509423,0.07615028440509423
insurance_Other,-0.07613434091957343,0.07613434091957343
last_service_CSURG,-0.07595678118129395,0.07595678118129395
unique_careunits,-0.07569911708079814,0.07569911708079814
last_service_PSYCH,-0.07356719101606579,0.07356719101606579
discharge_location_AGAINST ADVICE,0.07063682587378704,0.07063682587378704
Glucose_median,0.07048627753837572,0.07048627753837572
last_service_MED,-0.06365718424856286,0.06365718424856286
language_Chinese,-0.060165846517039344,0.060165846517039344
is_surgical_service,-0.058837114822724135,0.058837114822724135
Potassium_min,-0.05784182979133436,0.05784182979133436
admission_location_CLINIC REFERRAL,-0.0523017534108882,0.0523017534108882
last_service_GYN,-0.0496390913138443,0.0496390913138443
Glucose_min,-0.04815531626065552,0.04815531626065552
admission_location_TRANSFER FROM SKILLED NURSING FACILITY,-0.04616648880179847,0.04616648880179847
PlateletCount_min,-0.04546499537080081,0.04546499537080081
Sodium_median,-0.04492493618591854,0.04492493618591854
last_service_TRAUM,-0.044515010741470636,0.044515010741470636
last_service_OBS,-0.044209944544559523,0.044209944544559523
num_transfers,0.04372106030384341,0.04372106030384341
last_service_SURG,0.042770692725815025,0.042770692725815025
language_Kabuverdianu,-0.04206927449064228,0.04206927449064228
last_service_GU,-0.03753649507089739,0.03753649507089739
discharge_location_CHRONIC/LONG TERM ACUTE CARE,-0.03526317654143057,0.03526317654143057
discharge_location_ACUTE HOSPITAL,0.03474633079991865,0.03474633079991865
death_within_window,0.031041184860610162,0.031041184860610162
Hemoglobin_max,-0.03047639878680944,0.03047639878680944
last_service_PSURG,-0.029786203973754408,0.029786203973754408
length_of_stay,-0.029770302174893803,0.029770302174893803
UreaNitrogen_min,0.029738411504968813,0.029738411504968813
language_Haitian,-0.02971507409988544,0.02971507409988544
last_service_NSURG,-0.028283696349420576,0.028283696349420576
admission_location_INTERNAL TRANSFER TO OR FROM PSYCH,-0.02790227135003288,0.02790227135003288
Potassium_max,0.02625425861051912,0.02625425861051912
discharge_location_HOME HEALTH CARE,0.022961789548108173,0.022961789548108173
last_service_VSURG,-0.021704728859828066,0.021704728859828066
ed_visit_flag,-0.017518435291867165,0.017518435291867165
had_icu_transfer_flag,-0.016770175073124866,0.016770175073124866
Sodium_min,-0.01615579488204164,0.01615579488204164
UreaNitrogen_max,-0.01580521848870036,0.01580521848870036
discharge_location_OTHER FACILITY,-0.015273912824615063,0.015273912824615063
Potassium_median,0.014736763568046558,0.014736763568046558
admission_type_EU OBSERVATION,-0.01305967648339361,0.01305967648339361
PlateletCount_median,0.013048931497570502,0.013048931497570502
language_Portuguese,-0.011698302593599486,0.011698302593599486
admission_location_PACU,-0.010541873485563263,0.010541873485563263
Creatinine_min,0.009946412886959929,0.009946412886959929
language_Italian,-0.008900346182980528,0.008900346182980528
Glucose_max,0.00874468466742928,0.00874468466742928
language_Vietnamese,-0.00818691810568815,0.00818691810568815
language_Persian,-0.005849415333374975,0.005849415333374975
Sodium_max,0.005807790531208053,0.005807790531208053
admission_location_EMERGENCY ROOM,0.005288370042694844,0.005288370042694844
