model,roc_auc,pr_auc,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity
LR,0.6626314816442926,0.4037389876925414,0.5918293038159045,0.357552862679684,0.6620639534883721,0.464336911853716,17093,13095,3720,7288,0.5662183649132105,0.6620639534883721
LR,0.6626314816442926,0.4037389876925414,0.5918293038159045,0.357552862679684,0.6620639534883721,0.464336911853716,17093,13095,3720,7288,0.5662183649132105,0.6620639534883721
LR,0.6626314816442926,0.4037389876925414,0.5918293038159045,0.357552862679684,0.6620639534883721,0.464336911853716,17093,13095,3720,7288,0.5662183649132105,0.6620639534883721
RF,0.6933429896726637,0.4609712935385,0.6397465773376055,0.3915209146997226,0.6283611918604651,0.4824411508282476,19438,10750,4091,6917,0.6438982377103485,0.6283611918604651
XGB,0.7028923900413031,0.4746411648428001,0.6249635886979319,0.3861842779542892,0.684593023255814,0.4938077452329467,18210,11978,3472,7536,0.603219822446005,0.684593023255814
LR,0.6626314816442926,0.4037389876925414,0.5918293038159045,0.357552862679684,0.6620639534883721,0.464336911853716,17093,13095,3720,7288,0.5662183649132105,0.6620639534883721
RF,0.6940859927978467,0.4624549487570754,0.6404990775803476,0.3921601996823236,0.6279978197674418,0.4828188294454533,19473,10715,4095,6913,0.645057638796873,0.6279978197674418
XGB,0.7031507455772316,0.4742966222577776,0.6248179434896592,0.3862287702066707,0.6858648255813954,0.4941746301871972,18190,11998,3458,7550,0.6025573075394196,0.6858648255813954
LR,0.6626314816442926,0.4037389876925414,0.5918293038159045,0.357552862679684,0.6620639534883721,0.464336911853716,17093,13095,3720,7288,0.5662183649132105,0.6620639534883721
RF,0.6940704410307807,0.4625097036431413,0.6425138362947859,0.3937367849591405,0.6259084302325582,0.4833900445504613,19579,10609,4118,6890,0.6485689678017755,0.6259084302325582
XGB,0.704042376711561,0.4755922106839067,0.6259588309544616,0.387078565197311,0.6852289244186046,0.4947040498442367,18244,11944,3465,7543,0.6043460977872002,0.6852289244186046
LSTM,0.7029849663884427,0.4722792742500639,0.7483493543062433,0.6256370050960408,0.144985465116279,0.2354155911202891,29233,955,9412,1596,0.9683649132105472,0.144985465116279
TRANSFORMER,0.7056002316442926,0.4777581472043529,0.7484221769103796,0.6520302171860245,0.125454215116279,0.2104220630809081,29451,737,9627,1381,0.975586325692328,0.125454215116279
RF,0.6826507917149429,0.4510484773584712,0.6303039130012622,0.3829173599556295,0.6271802325581395,0.4755148426200152,19062,11126,4104,6904,0.631442957466543,0.6271802325581395
XGB,0.6913631471099906,0.4594518610275045,0.6181910865132537,0.3789797487823635,0.6715116279069767,0.4845147969717825,18075,12113,3616,7392,0.5987478468265536,0.6715116279069767
RF,0.6824692395797383,0.4501968913867222,0.6310078648412467,0.3835213067392632,0.6270893895348837,0.4759540800496431,19092,11096,4105,6903,0.6324367298264211,0.6270893895348837
XGB,0.6916994179618768,0.46047592900236645,0.6193319739780562,0.37989515880357694,0.6715116279069767,0.4852622595680431,18122,12066,3616,7392,0.6003047568570293,0.6715116279069767
