raw_feature,encoded_components,mean_selection_pct,max_selection_pct,mean_abs_coef
unique_careunits,1,1.0,1.0,0.15597657296346668
is_surgical_service,1,1.0,1.0,0.06661290685381438
days_since_prev_discharge,1,1.0,1.0,0.34107391201044535
death_within_window,1,1.0,1.0,0.03405286323517596
Sodium_median,1,1.0,1.0,0.062109839496839736
died_in_hospital,1,1.0,1.0,1.0189110240583341
Potassium_min,1,1.0,1.0,0.06965812119896247
Potassium_max,1,1.0,1.0,0.026655988131496347
PlateletCount_min,1,1.0,1.0,0.12050493810329961
anchor_age,1,1.0,1.0,0.1610880690586328
Hemoglobin_min,1,1.0,1.0,0.0670082836047762
Hemoglobin_median,1,1.0,1.0,0.1450250115400163
length_of_stay,1,1.0,1.0,0.021117321418603605
Glucose_min,1,1.0,1.0,0.057193687486836516
Glucose_median,1,1.0,1.0,0.08188371225996255
num_diagnoses,1,1.0,1.0,0.080439455609588
num_transfers,1,1.0,1.0,0.06451188654357257
UreaNitrogen_min,1,0.985,0.985,0.03399650118744786
ed_los_hours,1,0.98,0.98,0.011621369071175402
PlateletCount_median,1,0.98,0.98,0.06446558137658892
Sodium_min,1,0.97,0.97,0.017796576692986097
Hemoglobin_max,1,0.97,0.97,0.029608610631046455
had_icu_transfer_flag,1,0.96,0.96,0.007283733337190121
UreaNitrogen_max,1,0.95,0.95,0.02689846688482798
Potassium_median,1,0.95,0.95,0.016813856821308183
Sodium_max,1,0.94,0.94,0.01167534897297957
ed_visit_flag,1,0.905,0.905,0.00554016513864199
PlateletCount_max,1,0.87,0.87,0.01171232570173927
Creatinine_max,1,0.845,0.845,0.01868437521332776
UreaNitrogen_median,1,0.795,0.795,0.015822029270987036
Creatinine_min,1,0.79,0.79,0.011416589824226766
Creatinine_median,1,0.78,0.78,0.016053623483104594
Glucose_max,1,0.705,0.705,0.016634158474518778
has_prior_admission,1,0.0,0.0,0.0
