model,roc_auc,pr_auc,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,specificity,sensitivity
LR,0.6570000236887598,0.3903810396188784,0.5892805126711331,0.3553391406479397,0.6596111918604651,0.4618662934927803,17015,13173,3747,7261,0.5636345567775275,0.6596111918604651
RF,0.6869500638777999,0.4514514009061013,0.6335323817846393,0.3853015427769986,0.6239098837209303,0.4763985710817466,19231,10957,4140,6868,0.6370412084271896,0.6239098837209303
XGB,0.6910097521616475,0.4581026040058941,0.6084571317603651,0.3729410597340742,0.6828670058139535,0.4824156077525349,17549,12639,3491,7517,0.5813237047833576,0.6828670058139535
LR,0.657040001480066,0.3904852075658886,0.5892805126711331,0.3553532981013897,0.6597020348837209,0.4619005215621422,17014,13174,3746,7262,0.5636014310321982,0.6597020348837209
RF,0.6862528764750586,0.4497435358646897,0.6319302844936402,0.3836851240132131,0.622547238372093,0.4747653192005265,19180,11008,4155,6853,0.6353517954153969,0.622547238372093
XGB,0.6895323613735705,0.4557267512655298,0.6063452762404117,0.3707508312242568,0.678688226744186,0.4795404217080137,17508,12680,3537,7471,0.5799655492248575,0.678688226744186
LR,0.657040001480066,0.3904852075658886,0.5892805126711331,0.3553532981013897,0.6597020348837209,0.4619005215621422,17014,13174,3746,7262,0.5636014310321982,0.6597020348837209
RF,0.6863063838222334,0.4499249183353528,0.6318089134867463,0.3842386464826358,0.6271802325581395,0.4765323025952512,19124,11064,4104,6904,0.6334967536769577,0.6271802325581395
XGB,0.6904309935113984,0.4562810611690041,0.6096708418293039,0.3742811818362086,0.6858648255813954,0.4842847979474023,17566,12622,3458,7550,0.5818868424539552,0.6858648255813954
LR,0.657040001480066,0.3904852075658886,0.5892805126711331,0.3553532981013897,0.6597020348837209,0.4619005215621422,17014,13174,3746,7262,0.5636014310321982,0.6597020348837209
RF,0.6863744980342181,0.4497018154071836,0.6320031070977765,0.3835931367051699,0.6214571220930233,0.4743776437140281,19195,10993,4167,6841,0.6358486815953359,0.6214571220930233
XGB,0.6902689999501188,0.4571043257251032,0.6083843091562288,0.372518780160191,0.6802325581395349,0.4814040952778938,17575,12613,3520,7488,0.5821849741619186,0.6802325581395349
LR,0.657040001480066,0.3904852075658886,0.5892805126711331,0.3553532981013897,0.6597020348837209,0.4619005215621422,17014,13174,3746,7262,0.5636014310321982,0.6597020348837209
RF,0.6860776783561386,0.4489805055672131,0.63173609088261,0.3838383838383838,0.6248183139534884,0.4755418812873785,19147,11041,4130,6878,0.634258645819531,0.6248183139534884
XGB,0.6906023066977947,0.4575156554519431,0.6066608408583357,0.3713861386138614,0.6815043604651163,0.4807741604716739,17490,12698,3506,7502,0.5793692858089307,0.6815043604651163
TRANSFORMER,0.6947909786534423,0.4621452503738785,0.7474997572579862,0.6372282608695652,0.12781613372093023,0.2129237288135593,29387,801,9601,1407,0.9734662779912548,0.12781613372093023
